💝🇨🇳 iptv福建移动频道,#genre#

CCTV-1,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312164122%2Cysten2_10000100000000050000000000996924%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHYNKKXnKyFAolLWh7LRuzScVobKJC_74qHnpaZnlvmDFAjZeT0BxzZDkzyvBjelAq0VmacQYZcoW5IRE_0gtOanCu6a30etWeZfFijNM0oXw9nFRr4dmBFcnGyqlTGPawiCWGualR6GjoDJGCtQEtjI3v6d3B9xHcjhCs9nH95BwZ11BBbJcHeUMsfDdAQH31duOEAReRDFC3YFFCh3_eLehlxA-JYmOl7QAAAA
CCTV-2,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312162754%2C10000100000000050000000001117125%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybH0ITa6iGniiBIFaxeZZpsYzFtNKmCf29bevC0vOXNMEOApv1WaZkL1DLNRJqlua43qck1oLO1oJE2LNKr9EoyDefa3pbeTLHrubgJIfkq4XI6klVT4c7BqmR2y3dXU1hgDJ4pfFpNysSGfxA5rA1kMbS-5yeH7yW4RWFULeP6t3NsmKBCfIwPdkcsfPdEIHPwdvZUAxeJPaEfsFSio7_cMZhxxA8J64Pi7QAAAA
CCTV-3,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227445/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312162605%2Cysten2_10000100000000050000000000996969%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OywqDMBBF_ybLoKmvLrKyFArFFrTdlkkcUzEam6jQv68RF10NdzjncicLEi8njhgnYZqILDoeIoksAxGwMG4iSAWLZEAcfgrDGZGgdTuowtRee5b5KwwZjQPK_GGk8oVnDYoHG1vMvUC7h1Us0S6tRF67hi7gKChlUcHUmoHeNXwfVu8IwWofN8xak8mHCly3PsgbXG76ESzWV6M2jjegHZIRZAcKC-jxz7vZeh3xA56aHbDtAAAA
CCTV-4,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312161156%2C10000100000000050000000000846925%2C10001026346178%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHoIEec7IUCiUtaHst22RNxdXoRoX-fY148LTMznswE4PF61n3M5GIOJqglbBA1PTeBJeqV1m881zJUyZVOkpUSboQeJ1trJm7D_IeVrFEXhqL2sVaLhAleM_oYWpCLx8EvyfTjgisjgOmFCqI7foQX4hF6AZgdLfgN07XQBHFALYFjwY6PHh3duuIP-kdvlzRAAAA
CCTV-5,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227283/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165404%2Cysten2_10000100000000050000000000996970%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybHkKZWzSEnRRCkClavMqabWEwbTarg39tKD56WWd4bpo8wtF1rpWaYZ7m0BRYzJQWUtXkxX16lUCYTOUv0LIOWzMD7pnNlqEftfFxdskzyQnA5HsmqsXDj4bT4seWrvVKcwiAeKb4bQ7pOlr-ROJyL5NA3oeMHj88p-glhVE3jupf3rB9DhXQfHuyGtArtA5HqXXA_Tlv4ROwBc4ejEi39eftYDyO-0UFqi-0AAAA
CCTV-5+,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165407%2C10000100000000050000000001117270%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHkEQteMjJUiiUtKDttazJmorR2ESF_n21eOhpmeW9YaYAGs9HmXDemBQEyw91mvAsN7rhWvNEMJOyOiER38pLQTQ41w5WebNpj7J4ci5oxqjYjiDVVnhyYCX7sWruawx7WMUSw9JqlCY2dIFIwdqAFqbWD_Tm4HMPbkcIVvu4YXaOTFuoIHbrg7wgFr4fIaC5ePvjZAMuIhlBd2BRQY9_3jWYdcQXgT14tu0AAAA
CCTV-6,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227438/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165408%2Cysten2_10000100000000050000000000996971%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHENOq5JCTpVAotqDttazJmorR2ESF_n1VPPS0zPLeMKMHhZeTTBimLFXiWCt1VEJDlTChIy0Q-EHECQn4yZ3kRIG1TW9yp1ftWWSvKOI0ZpSvh5NyLTxbMJJtbD51Ffo9LGKBfm4USh1qOkOgYIxHA2Pjenq38H14uyMEy31cP1lLxjWUENrlQd4QMtcN4FFfndk4WYMNSAZQLRjMocM_7-b1MuIHNmfy9O0AAAA
CCTV-7,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165410%2C10000100000000050000000001117137%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OQQ6CMBBFb9Nl0xYVWXSFMTExaAK6NUM7VEKh2AKJtxcICzcz-ZP3Jn_woPBykhCJKIl5jIrr3Y4dSq5YghWbZ3wEFCTgJ3NSEAXW1p3JnF60Z56-OBd0z6hYliDF8vBswUi2stnYlui3MIs5-qlWKHWo6ASBgjEeDQy16-jdwvfh7YYQLLZy3WgtGZZQQGjmA3lDSF3bg0d9dWblZAU2IOlBNWAwgxb_vJvXc4kfrckAxO0AAAA
CCTV-8,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227449/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165412%2Cysten2_10000100000000050000000000996972%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHBharXHrCmJgYNBG9mm27VEKh2iKJfy8QDp42s3lvMkNATce93KGoRZopUaPeKACVJHkGuYJ8uzUEgkV6l14C0-hc09vSm1m7X4tHmgIXCYf5AKvmwoNDK5OFLT-dorCGSbxSGBtN0sSajxg5WhvI4tD4nl8cfm_BrQijah3Xf5xjwxwqjO30YE-Mhe9eGMicvF04WaOLxF6oW7RUYkd_3jmYacQPFeBbve0AAAA
CCTV-9,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165414%2C10000100000000050000000001117159%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybH0KbWxkNOiiBIFVq9yphsYzFtNKmCf28rPXhaZnlvmCFA026jcmhJQogiW8pFk2eQuoEkc03STFKxYpGepVeCaTjX9rb0ZtLO1fqSpoLnCRfTEayeCrcOViU_tnx1VwpzGMWKwrvVpExs-BuRw9pAFkPre350-JyCmxFG9TyufznHhinUiPfxwW6Ia989EMjsvf1xqoGLxB7Qd1gq0dGfdwhmHPEFQOgKhe0AAAA
CCTV-10,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165416%2C10000100000000050000000001117161%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHoEEtHnKyFAolLWh7LWt2TcVobKJC_75aPPS0zPLeMJMHTeejFFjrVOi8jhNIUsQ8aaIDomgyEWd5VrNAb-WkYBqsbQejHG7aoyyecSx4GnGxHcGqrfBkwcjox6q5r8nvYRVL8kurSWJo-AKBgzGeDEytG_jNwufu7Y4wqvZxw2wtm7ZQQejWB3tBKFw_gie8OPPjZAM2EBtBd2BIQU9_3tXjOuILg1XDou0AAAA
CCTV-11,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165418%2C10000100000000050000000000923097%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQrCMBBE_ybH0CZqveSkCIJUwepVpskmFtOmJlXw722lB0_LLO8NM0Ro2m-VXElLtS30am0X0oiaSAJ5JnReSNSGJXqWQQmm4X3TuTKYSbueN7c8F3yZcTEdwaqpcOfhVPZjy1dbU5zDKJ4pvhtNyiTL30gczkVyGJrQ8ZPH5xL9jDCq5nHdy3s2TKFCeowPdkfahLZHJHMI7scpC5-I9dAPOCrR0p93jGYc8QUHYs_c7QAAAA
CCTV-12,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165420%2C10000100000000050000000001117168%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHBhYUPfSEMTExaAJ6NUu7rYRCsQUT_14wHDxtZvPeZEaPkk4HESdZqnYp7AFUqkHv60wpnUC2S2WE24QFehVOAJNobdObwqlFu5f5I46BbyIOywFWLYVHi0ZEP7aYupr8GmaxJP9uJAkVNH9j4GiMJ4Nj43p-tfi5ebsijKp1XD9Zy8YlVBja-cGeGHLXDehJnZ35cUKjDcQGlC0aKrCjP-_i1TziC-Bz7SLtAAAA
CCTV-13,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165422%2C10000100000000050000000000923119%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OUQuCMBSF_80ehy4NfdhTEQRhQdZrnLnrEqezzYT-fRo-9HQ5l-87nNGjouNeJtFWZanScV5vEqUEhKJMiwyJqGPkGxboVTgpWAVrm94UTi_a_bp7xLHgacTFcgQrl8KDhZHRjy3enSK_hlm8kp-aiqQONZ8QOIzxZDA2rucXi8_N2xVhVK7j-re1bFxCidDOD_ZE2LlugCd9cubHyRo2EBtQtTBUoKM_7-z1POILR7iQiu0AAAA
CCTV-14,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165423%2C10000100000000050000000001117178%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OywqDMBBF_ybLoPGBLrKyFArFFrTdljGZpGI0NlGhf18VF10NdzjncicHAi8nnuQxKhUmTZNjHKdRJqKAQSMzmeUKw5R4_JSWMyLAmHbQpZWb9qyKVxgymgSUbYeReis8G9A82Nly7ht0R1jFCt3SCuTSK7qAp6C1Qw1Tawd6N_B9OHMgBOtj3DAbQ6Yt1OC79UHe4Avbj-BQXq3eOa7AeCQjiA40ltDjn3dzch3xA8QimYLtAAAA
CCTV-15,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165425%2C10000100000000050000000000923142%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHEDVaPeTUUigUW9D2WlazScVobKJC_74qHnpaZnlvmNFBjZeTkDxQFasOSRZVPI0YxJnKOE9VksQs4op4_ORWhKQGY5pe51au2rM4voIgpDGj4XpCUq6FZwNasI3Np65Ct4dFLNDNTY1CekVn8BS0dqhhbGxP7wa-D2d2hGC5j-snY8i4hhJ8uzzIG_zRdgM4lFerN04oMB7JAHULGnPo8M-7ObmM-AHKjKad7QAAAA
CCTV-16,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165427%2Cysten2_10000100000000050000000000996937%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OywqDMBBF_ybLEN-6yMpSKBRb0HZbxmRMxWhsokL_viouuhrucM7lThYEXk48qVEGIhRxKjBkLM0yFntZIzBpsoB5EXH4KQz3iQCt20EVRm7as8xfnufTiFF_Oz6ptsKzBsXZzhZzX6M9wiqWaJdWIJeuoQs4CkpZVDC1ZqB3Dd-H1QdCsDrGDbPWZNpCBa5bH-QNLjf9CBbl1aid4w1oh2QE0YHCAnr8825WriN-eI2fbu0AAAA
CCTV-17,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=2&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312165432%2Cysten2_10000100000000050000000000996934%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C7%2C100001%2C%2C%2C4%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHhlZRPPSkMTExaAJ6Nct2qYRCsQUS_14gHDxtZvPeZHoPSJeTogIOsdhEOiHY4k4mMSZCoKA9lTFiwgJ9UqckQ7C2ak3q9Kw9s-NLCMnjiMv5SJbPhWcLRkULmw5NQX4Nk5iRHyskpUPJRwgcjPFkoK9cy-8Wvg9vV4RRvo5rB2tZP4ccQj092BvC0TUdeNJXZxZOlWADsQ6wBkMpNPTn3byeRvwAl4UVKe0AAAA

CCTV13-HD,http://39.135.55.105:6610/PLTV/88888888/224/3221225817/index.m3u8?servicetype=1
莆田1套综合频道,http://8.138.7.223/tv/fjtv1.php?id=pt1#http://xiaogui.yeyuaihao.club:81/fujianputian.php?id=4
莆田2套公共频道,http://xiaogui.yeyuaihao.club:81/fujianputian.php?id=5
