
国际,#genre#
鳳凰中文,https://live.tvfix.org/live/fhzw/index.m3u8
鳳凰資訊,https://live.tvfix.org/live/fhzx/index.m3u8
鳳凰香港,https://live.tvfix.org/live/fhxg/index.m3u8
TVB翡翠台,https://live.tvfix.org/live/jade/index.m3u8
TVB Plus,https://live.tvfix.org/live/tvbplus/index.m3u8
TVB無綫新聞,https://live.tvfix.org/live/inews/index.m3u8
TVB明珠台,https://live.tvfix.org/live/pearl/index.m3u8
TVB娛樂新聞,https://live.tvfix.org/live/enews/index.m3u8
PopC,https://live.tvfix.org/live/popc/index.m3u8
美亞電影,https://live.tvfix.org/live/mydy/index.m3u8
天映經典,https://live.tvfix.org/live/tyjd/index.m3u8
東方衛視國際版,https://live.tvfix.org/live/dfhd/index.m3u8
中國電影,https://live.tvfix.org/live/cmc/index.m3u8
CCTV-1综合,https://live.tvfix.org/live/cctv1hd/index.m3u8
ROCK ACTION,https://live.tvfix.org/live/rockac/index.m3u8
ROCK entertianment,https://live.tvfix.org/live/rockzy/index.m3u8
KIX,https://live.tvfix.org/live/kix/index.m3u8
AXN,https://live.tvfix.org/live/axn/index.m3u8
Animax,https://live.tvfix.org/live/animax/index.m3u8


凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,http://php.jdshipin.com:8880/xsj.php?id=phtv-hk 
凤凰资讯,https://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰资讯,http://php.jdshipin.com:8880/xsj.php?id=phtv-info 
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzx
凤凰资讯,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰卫视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰卫视,https://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
凤凰中文,http://php.jdshipin.com:8880/xsj.php?id=phtv-cn 
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
凤凰中文,http://cdn5.1678520.xyz:80/live/live2.1.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
重温经典,http://cdn3.163189.xyz/live/cwjd/stream.m3u8
凤凰中文,http://122.117.71.103:8574/http/61.222.53.250:8078/hls/21/80/phoenixch.m3u8?txiptv&playlive
凤凰中文,http://122.117.71.103:8574/http/61.222.53.250:8078/hls/21/80/phoenixch.m3u8
凤凰中文,http://122.117.71.103:8574/http/61.222.53.250:8081/hls/75/817/ch59.m3u8
鳯凰中文,http://dns.yiandrive.com:15907/phenix/fhzw
鳳凰資訊,http://162.62.120.19/qctv.fengshows.cn/live/0701pin72.flv
鳯凰資訊,http://dns.yiandrive.com:15907/phenix/fhzx
鳳凰香港,http://dns.yiandrive.com:15907/phenix/fhhk
鳯凰香港,http://139.196.228.200:5678/公众号搞机大师/fhx.php?id=hk
鳯凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
鳯凰香港,http://live4play.uk/livehttpplay?channel_id=30016
ay?channel_id=20067
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,https://cdn3.163189.xyz/live/cwjd/stream.m3u8
翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct2
翡翠,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠,http://php.jdshipin.com/smt.php?id=jade_twn
翡翠,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
TVBJ1,http://php.jdshipin.com/TVOD/iptv.php?id=tvbj1
TVBJ1,https://cdn3.163189.xyz/live/j1/stream.m3u8
TVB星河,http://php.jdshipin.com/smt.php?id=Xinhe
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龙华经典,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龙华偶像,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龙华日韩,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龙华戏剧,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
HOY77,https://cdn.163189.xyz/live/hoy/stream.m3u8
HOY77,http://php.jdshipin.com/TVOD/iptv.php?id=hoytv
HOY78,http://live4play.uk/livehttpplay?channel_id=20191
POPC,http://go1.bkpcp.top/tl/popc
凤凰电影,http://121.37.185.74:28180/TV00000000000000000050@HHZT
澳视澳门,https://cdn.163189.xyz/live/asam/stream.m3u8
澳视Macau,https://cdn.163189.xyz/live/as/stream.m3u8
天映频道,http://live4play.uk/livehttpplay?channel_id=10130
