央视,#genre#
CCTV1,http://www.namewee.xyz/gudou.php?id=1402_4500
CCTV2,http://www.namewee.xyz/gudou.php?id=CCTV2HD_7000
CCTV3,http://www.namewee.xyz/gudou.php?id=1603
CCTV4,http://www.namewee.xyz/gudou.php?id=1604
CCTV5,http://www.namewee.xyz/gudou.php?id=1605
CCTV5,http://113.101.119.52:808/hls/58/index.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221226027/index.m3u8
CCTV5+,http://www.namewee.xyz/gudou.php?id=1403
CCTV6,http://www.namewee.xyz/gudou.php?id=1606
CCTV7,http://www.namewee.xyz/gudou.php?id=1607
CCTV8,http://www.namewee.xyz/gudou.php?id=1608
CCTV9,http://www.namewee.xyz/gudou.php?id=CCTV9HD_7000
CCTV10,http://www.namewee.xyz/gudou.php?id=1610
CCTV11,http://www.namewee.xyz/gudou.php?id=CCTV-11HD_7500
CCTV12,http://www.namewee.xyz/gudou.php?id=CCTV12HD_7000
CCTV13,http://www.namewee.xyz/gudou.php?id=1613
CCTV13,https://pi.0472.org/tv/fct.php?auth=2310201855
CCTV14,http://www.namewee.xyz/gudou.php?id=CCTV14HD_7000
CCTV15,http://www.namewee.xyz/gudou.php?id=CCTV-15HD_7500
CCTV16,http://www.namewee.xyz/gudou.php?id=1617_4500
CCTV17,http://www.namewee.xyz/gudou.php?id=CCTV17HD
CCTV4K,http://www.namewee.xyz/gudou.php?id=4005
CCTV16-4K,http://www.namewee.xyz/gudou.php?id=4010
CGTN.576,http://www.namewee.xyz/gudou.php?id=CCTV15news_1500
CCTV-1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2,http://39.134.66.66/PLTV/88888888/224/3221225820/index.m3u8
CCTV-3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV-6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
