🎼梁旭Music,#genre#
爱你千万年,https://9181.kstore.space/林良欢 - 我爱你千万年.mp4
刘宪华TRAP,https://9181.kstore.space/trap.mp4
青城山下白素贞,https://9181.kstore.space/鞠婧祎 - 青城山下白素贞.MP4
偷心,https://9181.kstore.space/张偲偲 - 偷心.MP4
上下,https://9181.kstore.space/EXID - 上下.MP4
不甘,https://9181.kstore.space/不甘 .MP4
我们不是想爱吗，https://cloudyytplaycdn.yinyuetai.com/mv/A5170139C2D37E37F0155DE863AC0A5C.mp4?w=1280&h=720&sign=1721634576mvaybfjjr3uobvgcs700u00747092d6f8ff13b36a04b8356433a441
迟来戴羽彤,https://9181.kstore.space/戴羽彤 - 来迟.MP4
No Ohter Way,https://9181.kstore.space/SHAED - No Other Way（Performance Video）.MP4
DAY BY DAY,https://9181.kstore.space/T-ara - DAY BY DAY.MP4
落,https://9181.kstore.space/ 落.MP4
서정아,https://9181.kstore.space/서정아.MP4
我不在乎,https://9181.kstore.space/温兆伦、于嘉乐 - 我不在乎.MP4
我们一起摇太阳,https://9181.kstore.space/我们一起摇太阳.MP4
美丽的神话,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg_tma4gUowLvk9wM.mp4
音乐欣赏,http://cfss.cc/cdn/dyu/3186217.flv
大风吹,http://vdown2.kuwo.cn/resource//t5/0/eTNBMFltlx07LI3bUVOg01041201VIsY0E010.mp4
闽南语歌,http://mobi.kuwo.cn/tmevideo/tme12155588.mp4
我的楼兰,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg88K74gUohZWCnwQ.mp4

🏞️4K欣赏,#genre#
音乐,http://tc-tct.douyucdn2.cn/dyliveflv3/17732rtara.flv?wsAuth=444b28368bc6cf374a8f22734242cdec&token=cpn-androidmpro-0-17732-2c028a7d8b69ac4c6a43608933105351f464f9543343a70c&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=play3
纯享4K,http://[2409:8087:5e00:24::10]:6060/200000001898/460000089800010006/1.m3u8
纯享4K,http://php.jdshipin.com/itv6.php?cid=ystenlive&id=1000000004000011651
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
CCTV4K,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV4K,http://php.jdshipin.com/TVOD/iptv.php?id=cctv4k
CCTV4K,http://php.jdshipin.com/bestv.php?id=cctv4k/15000000
CCTV4K,http://php.jdshipin.com/cqyx.php?id=CCTV4K
CCTV4K,https://tv.iill.top/4k/cctv4k
CCTV4K,http://cdn.jdshipin.com:8880/ysp.php?id=cctv4k
CCTV16-4K,http://php.jdshipin.com/itv6s.php?cid=bestzb&id=5000000008000023254
CCTV16-4K,http://php.jdshipin.com/bst2.php?id=cctv16hd4k/15000000
CCTV16-4K,http://php.jdshipin.com/bestv.php?id=cctv16hd4k/15000000
CCTV16-4K,https://tv.iill.top/4k/cctv16
CCTV16-4K,http://cdn.jdshipin.com:8880/ysp.php?id=cctv16-4k
CCTV16-4K 18M2160,http://ott.mobaibox.com/PLTV/3/224/3221228314/index.m3u8
CCTV16-4K 25M2160,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV16-4K 34M2160HDR,http://ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV8K超高清,https://tv.cry33.com/ys4k.php?id=8k
