中超粤评,#genre#
㋁㏵U20亚洲杯1/4决赛⚽📡,http://rihou.cc:555/mp4?id=lndjll.mp4
㍨¹⁵中国U20🆚沙特U20,http://rihou.cc:555/mp4?id=lndjj.mp4
欣赏频道,#genre#
粤语长片频标,http://hkenlive.uk/livehttpplay?channel_id=13021
国语译制电影,http://home.wwang.pw:35455/douyu/2436390
第一滴血全集,http://home.wwang.pw:35455/yy/1354932355
敢死队全轮播,http://home.wwang.pw:35455/yy/1382735573
速度与激情集,http://home.wwang.pw:35455/yy/1382736911
漫威系列轮播,http://home.wwang.pw:35455/yy/1354932402
变形金刚轮播,http://home.wwang.pw:35455/yy/1382736803
哈利波特全集,http://home.wwang.pw:35455/yy/1382745105
夺宝奇兵全集,http://home.wwang.pw:35455/yy/1382736833
机械战警全集,http://home.wwang.pw:35455/yy/1382736854
古惑仔国轮播,http://home.wwang.pw:35455/yy/1458015189
黑衣一二轮播,http://home.wwang.pw:35455/yy/1354930936
叠影重重全集,http://home.wwang.pw:35455/yy/1382735570
美剧解说轮播,http://home.wwang.pw:35455/douyu/9643264
经典美剧解说,http://home.wwang.pw:35455/douyu/9123570
琅琊榜电视剧,http://zby.xjqxz.top/lyb/live.m3u8
83射雕英雄传,http://home.wwang.pw:35455/yy/1354210357
95神雕侠侣粤,http://home.wwang.pw:35455/yy/1354926637
96笑傲江湖版,http://home.wwang.pw:35455/yy/1354930909
87经典红楼梦,http://home.wwang.pw:35455/yy/1382745084
新白娘子轮播,http://home.wwang.pw:35455/yy/1354930969
仙剑奇侠传剧,http://home.wwang.pw:35455/yy/1382749903
花千骨电视剧,http://home.wwang.pw:35455/yy/1354943110
鹊刀门传奇剧,http://home.wwang.pw:35455/yy/1355344777
三生三世轮播,http://zby.xjqxz.top/sssszss/live.m3u8
甄嬛传电视剧,http://zby.xjqxz.top/live8/live.m3u8
卿卿日常轮播,http://zby.xjqxz.top/qqrc/live.m3u8
知否知否轮播,http://zby.xjqxz.top/zfzf/live.m3u8
我的体育老师,http://home.wwang.pw:35455/yy/1382745169
如果岁月轮播,http://home.wwang.pw:35455/yy/1382736883
流金岁月轮播,http://home.wwang.pw:35455/yy/1382749906
向风而行轮播,http://zby.xjqxz.top/xfex/live.m3u8
欢乐颂电视剧,http://home.wwang.pw:35455/douyu/3756989
好先生电视剧,http://home.wwang.pw:35455/douyu/9650792
我的前半生剧,http://home.wwang.pw:35455/yy/1382735564
伪装者电视剧,http://home.wwang.pw:35455/yy/1354936244
警察荣誉轮播,http://zby.xjqxz.top/live16/live.m3u8
火蓝刀锋轮播,http://home.wwang.pw:35455/yy/1382737892
二炮手电视剧,http://home.wwang.pw:35455/yy/1354930964
炮神电视轮播,http://home.wwang.pw:35455/yy/22089862
风筝电视轮播,http://home.wwang.pw:35455/yy/1354931585
武林外传轮播,http://home.wwang.pw:35455/yy/1355652820
科幻Fans轮播,http://home.wwang.pw:35455/douyu/3508304
科幻解说轮播,http://home.wwang.pw:35455/douyu/9338839
笑声传奇轮播,http://home.wwang.pw:35455/yy/1382736880
笑傲帮集轮播,http://home.wwang.pw:35455/yy/1382735555
笑傲江湖一季,http://home.wwang.pw:35455/yy/1382749896
笑傲江湖二季,http://home.wwang.pw:35455/yy/1382736914
欢乐集结号播,http://home.wwang.pw:35455/yy/1354931582
欢乐集结号三,http://home.wwang.pw:35455/yy/1382736822
欢乐集结号四,http://home.wwang.pw:35455/yy/1382736889
吐槽大会海天,http://home.wwang.pw:35455/yy/1354932379
吐槽大会二季,http://home.wwang.pw:35455/yy/1354936145
吐槽大会五季,http://home.wwang.pw:35455/yy/1354889009
娱乐扒叔轮播,http://home.wwang.pw:35455/douyu/9624581
粤语剧集轮播,http://home.wwang.pw:35455/douyu/10338873
粤语综艺轮播,http://home.wwang.pw:35455/douyu/7919720
粤语版电影一,http://home.wwang.pw:35455/douyu/5033502
粤语版电影二,http://home.wwang.pw:35455/douyu/6566671
粤语版电影三,http://home.wwang.pw:35455/douyu/1226741
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典频道,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
重温经典频道,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
星光经典频视,https://ali.hlspull.yximgs.com/live/1355046088.flv
星光综合频视,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
星光影迷频视,https://ali.hlspull.yximgs.com/live/11077536.flv
好人影视频视,https://ali.hlspull.yximgs.com/live/1234566.flv
经典电影频视,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
经典乡村频视,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
经典港剧频视,http://home.wwang.pw:35455/douyu/9548850
经典武侠频视,http://home.wwang.pw:35455/douyu/338759
邵氏影院频视,http://home.wwang.pw:35455/douyu/4246519
檬檬功夫频视,http://home.wwang.pw:35455/douyu/9838414
经典频道频视,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv
经典功夫频视,http://ali.hlspull.yximgs.com/live/asdfg99338.flv
经典都市频视,http://ali.hlspull.yximgs.com/live/asdfg32619.flv
经典综艺频视,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
经典少儿频视,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv
经典港片频视,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv
港粤频道,#genre#
凤凰中文频标,http://43.129.81.169/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯频标,http://43.129.81.169/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港频标,http://43.129.81.169/qctv.fengshows.cn/live/0701phk72.flv
中天新闻频高,http://122.117.109.23:8595/http/61.67.128.137:8081/hls/78/80/ch63max.m3u8
无线新闻频标,http://vallest.uk/livehttpplay?channel_id=20123
Now新闻频标,http://live4play.uk/livehttpplay?channel_id=20041
pₒₚc电影频标,http://go1.bkpcp.top/tl/popc
RTHK-31频标,http://vallest.uk/livehttpplay?channel_id=30066
Ftv2时代频标,http://tlive24.uk/livehttpplay?channel_id=50318
天映经典频标,http://live4play.uk/livehttpplay?channel_id=20063
无线翡翠频标,http://vallest.uk/livehttpplay?channel_id=30025
无线娱乐频标,http://hkenlive.uk/livehttpplay?channel_id=13006
无线经典频标,http://hkenlive.uk/livehttpplay?channel_id=13024
无线亚剧频标,http://hkenlive.uk/livehttpplay?channel_id=13022
无线亚综频标,http://hkenlive.uk/livehttpplay?channel_id=13020
无线星河频道,http://go1.bkpcp.top/tl/null-7
无线综合频道,http://go1.bkpcp.top/tl/null-3
无线粤片频道,http://go1.bkpcp.top/tl/null-10
无线华剧频道,http://go1.bkpcp.top/tl/null-4
黄金翡翠频道,http://go1.bkpcp.top/tl/null-2
黄金华剧频道,http://go1.bkpcp.top/tl/null-9
天映经典频道,http://go1.bkpcp.top/tl/null-1
美亚电影频道,http://go1.bkpcp.top/tl/null-5
中国电影频道,http://go1.bkpcp.top/tl/null-6
中天新闻斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=ctinews
有线新闻斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=hoycaijing_twn
闽南频道,#genre#
三立戏剧频标,http://live4play.uk/livehttpplay?channel_id=10125
中天娱乐频高,http://live4play.uk/livehttpplay?channel_id=20079
东森戏剧频高,http://live4play.uk/livehttpplay?channel_id=20072
东森洋片频标,http://live4play.uk/livehttpplay?channel_id=20080
博斯运动频标,http://live4play.uk/livehttpplay?channel_id=10131
哪吒修复,#genre#
哪吒1魔童降世,https://vip.ffzy-play7.com/20221111/3098_4ec0b2e9/index.m3u8
哪吒2闹海修复,https://c1.7bbffvip.com/video/nazhazhimotongnaohai/修复版/index.m3u8
美国队长4Ts中,https://cdn7.ryplay7.com/20250217/10692_fbe18652/index.m3u8
峡谷2025HD中,https://cdn7.ryplay7.com/20250215/10678_9c49fdd1/index.m3u8
死待与金刚狼H,https://svip.high21-playback.com/20241103/39766_5615a4fa/index.m3u8
神偷奶爸4国语,https://svip.high21-playback.com/20241018/39470_042b09a4/index.m3u8
危机航线-HD国,https://svip.high21-playback.com/20241129/40285_ed081458/index.m3u8
九龙城寨-HD国,https://svipsvip.ffzy-online5.com/20240621/28901_46307ada/index.m3u8
九龙城寨-HD粤,https://svipsvip.ffzy-online5.com/20240621/28900_f7dce56e/index.m3u8
新剧追更,#genre#
难哄之第01集,https://svipsvip.ffzy-online5.com/20250218/38463_3715e8a7/index.m3u8
难哄之第02集,https://svipsvip.ffzy-online5.com/20250218/38464_3023c406/index.m3u8
难哄之第03集,https://svipsvip.ffzy-online5.com/20250218/38465_de275001/index.m3u8
难哄之第04集,https://svipsvip.ffzy-online5.com/20250218/38466_58afaf85/index.m3u8
难哄之第05集,https://svipsvip.ffzy-online5.com/20250219/38505_6b5a92b8/index.m3u8
难哄之第06集,https://svipsvip.ffzy-online5.com/20250219/38506_c6af42b2/index.m3u8
难哄之第07集,https://svip.yyzy-play.vip/20250220/24066_c4d1ae29/index.m3u8
难哄之第08集,https://svip.yyzy-play.vip/20250220/24088_9108193f/index.m3u8
难哄之第09集,https://svip.high25-playback.com/20250221/20164_8aa5d9f4/index.m3u8
难哄之第10集,https://svip.high25-playback.com/20250221/20171_329d4a64/index.m3u8
难哄之第11集,https://svipsvip.ffzy-online5.com/20250222/38601_b9792b35/index.m3u8
千娇百媚01集,https://svip.yyzy-play.vip/20250213/23436_5cc48112/index.m3u8
千娇百媚02集,https://svip.yyzy-play.vip/20250213/23435_17e56a8a/index.m3u8
千娇百媚03集,https://svip.high25-playback.com/20250213/19603_b350cd9f/index.m3u8
千娇百媚04集,https://svip.high25-playback.com/20250213/19602_aa99d624/index.m3u8
千娇百媚05集,https://svip.high24-playback.com/20250213/18544_130fb14c/index.m3u8
千娇百媚06集,https://svip.high24-playback.com/20250214/18630_8672df2f/index.m3u8
千娇百媚07集,https://svip.high24-playback.com/20250214/18635_eb56a580/index.m3u8
千娇百媚08集,https://svip.high24-playback.com/20250215/18709_2506e310/index.m3u8
千娇百媚09集,https://svip.high24-playback.com/20250215/18708_24c05563/index.m3u8
千娇百媚10集,https://svip.high24-playback.com/20250216/18761_9baf9ee8/index.m3u8
千娇百媚11集,https://svip.high24-playback.com/20250216/18760_1d698c5b/index.m3u8
千娇百媚12集,https://svip.yyzy-play.vip/20250217/23866_3c2207c5/index.m3u8
千娇百媚13集,https://svip.high24-playback.com/20250218/18840_c9c5636d/index.m3u8
千娇百媚14集,https://svip.high24-playback.com/20250219/18874_1f6cc071/index.m3u8
千娇百媚15集,https://svip.high25-playback.com/20250220/20088_6fdff63a/index.m3u8
