,key,value
0,开头,20
1,金润吉,1
2,几句,13
3,简直,45
4,好听,126
5,炸,5
6,阿里郎,1
7,名字,58
8,俗,6
9,然,12
10,火,62
11,大哭,389
12,2016年03月30号,1
13,手机,89
14,铃声,12
15,下载,25
16,请,61
17,发送,5
18,短信,14
19,168xxxxxx,1
20,当年,97
21,坐,101
22,学校,46
23,围墙,1
24,老牛,1
25,逼,10
26,墙,3
27,塌,1
28,该死,3
29,温柔,58
30,秋天,10
31,回来,73
32,香水,7
33,有毒,7
34,不怕不怕,1
35,当时,136
36,神曲,8
37,那年,72
38,西安,17
39,武汉,16
40,火车,31
41,上面,6
42,遇到,58
43,漯河,1
44,女生,82
45,身上,17
46,女孩,67
47,MP3,8
48,一晚上,6
49,晚上,50
50,还在,47
51,肩膀,12
52,睡着,23
53,联系,39
54,方式,21
55,最终,25
56,说出口,1
57,样子,54
58,美,50
59,感觉,218
60,马天宇,1
61,记忆,38
62,古早,1
63,直接,18
64,跳,16
65,古剑奇谭了,1
66,中间,15
67,这么多年,17
68,一首,98
69,童话,3
70,哭,200
71,早恋,2
72,老歌,25
73,就会,57
74,好多,37
75,同龄人,1
76,都是,262
77,一群,17
78,90,5
79,初,4
80,小伙伴,10
81,怀念,36
82,那些年,8
83,过往,6
84,时间,120
85,回不去,16
86,有些人,20
87,注定,15
88,人生,69
89,过客,7
90,十年前,20
91,小学生,4
92,旋律,40
93,十年后,13
94,趴,12
95,桌上,7
96,流泪,222
97,很喜欢,37
98,句,52
99,也许,64
100,懂,43
101,爱,365
102,天空,12
103,星星,34
104,亮,11
105,大概,47
106,滋味,4
107,两个,48
108,备胎,38
109,那个女孩,6
110,伤心,13
111,决定,24
112,在一起,119
113,故事,110
114,追到,6
115,居然,33
116,还能,33
117,欢乐,2
118,总结,3
119,醉,15
120,名,32
121,应该,67
122,有种,12
123,淡淡,6
124,韭菜,1
125,盒子,1
126,香,2
127,欢快,6
128,薛之谦,35
129,专辑,64
130,买啦,1
131,网上,5
132,免费,4
133,听买,1
134,意义,22
135,许嵩,74
136,新,43
137,平台,3
138,实体,1
139,唱片,5
140,不买,2
141,搞,12
142,电视,14
143,销售,1
144,节目,10
145,推销,1
146,海蝶音乐,1
147,特,13
148,招,3
149,惹,1
150,签,4
151,俩,13
152,败家,1
153,玩意儿,1
154,写歌,13
155,逗比,11
156,做生意,3
157,开店,1
158,帅,31
159,Stayhere,1
160,意外方圆,1
161,几里一半,1
162,认真,42
163,雪,12
164,一半,18
165,黄色,4
166,枫叶,2
167,想起你,2
168,遇见,48
169,甘愿,2
170,绅士,3
171,演员,15
172,深深,13
173,爱过,23
174,丑八怪,2
175,世上,9
176,几个,32
177,就好,27
178,敷衍,4
179,成,101
180,女人,31
181,下雨,10
182,小孩,12
183,回家,59
184,努力,67
185,梦想,48
186,歌手,157
187,快,75
188,火起来,1
189,唱歌,89
190,红,58
191,流感,5
192,肯定,20
193,睡,39
194,给我,25
195,点赞,9
196,大家好,10
197,简弘亦,1
198,男朋友,36
199,女朋友,75
200,奸笑,36
201,私信,11
202,要求,9
203,认领,1
204,高冷,5
205,满足,2
206,愿望,3
207,圣诞,3
208,妹子,21
209,娶,23
210,牵手,114
211,男生,83
212,少女,8
213,情怀,4
214,最大,15
215,生,19
216,小公主,5
217,打扮,2
218,漂漂亮,1
219,小男孩,5
220,屁颠,2
221,追,48
222,女儿,32
223,跑,39
224,词曲,21
225,林一峰,1
226,住,22
227,王心凌,3
228,honey,1
229,孙燕姿,20
230,honeyhoney,1
231,萧亚轩,7
232,honeyhoneyhoney,1
233,三首歌,1
234,不错,22
235,异地恋金曲排行榜,1
236,第三名,1
237,庾澄庆,1
238,声音,130
239,哈林,1
240,对着,36
241,基友,4
242,反应,8
243,表达,19
244,不够,21
245,呆呆,13
246,通知,5
247,栏,3
248,显示,11
249,赞,21
250,重温,8
251,一遍,27
252,封面,17
253,鼠标,2
254,截,2
255,进去,18
256,初中,56
257,喜欢,637
258,同学,78
259,表白,50
260,答应,22
261,偷偷,22
262,练,6
263,中考,6
264,P3,1
265,告诉我,10
266,单曲,41
267,循环,63
268,喊,28
269,一起唱,9
270,如今,68
271,单身,39
272,适合,33
273,枉然,1
274,整天,8
275,暗恋,41
276,热恋,3
277,绝恋,2
278,清新,10
279,脱俗,2
280,提前,5
281,新年快乐,4
282,同样,12
283,华健,1
284,大哥,7
285,释怀,5
286,些许,3
287,自嘲,1
288,小刚,3
289,演绎,12
290,版本,34
291,却是,23
292,内疚,1
293,无法,46
294,忘怀,5
295,精彩,10
296,先,31
297,入为主,2
298,周华健,2
299,亲亲,34
300,李宗盛,11
301,才子,3
302,一流,6
303,第一封,1
304,情书,10
305,初二,15
306,傻傻,14
307,竟,15
308,收到,13
309,交给,9
310,妈妈,56
311,妈,77
312,并没有,13
313,去找,21
314,孩子,62
315,家长,6
316,老师,92
317,保存,2
318,下来,32
319,特别,80
320,感谢,42
321,感激,8
322,小屁孩儿,1
323,谢谢,55
324,最初,16
325,情窦初开,3
326,年华,7
327,傻,11
328,姑娘,74
329,一生,51
330,留下,26
331,纯洁,13
332,美好,47
333,回忆,77
334,电梯,3
335,一个人,268
336,打开,24
337,一包,11
338,巧克力,4
339,每个人,37
340,分,25
341,伸手,2
342,愣,3
343,一会,9
344,楼,13
345,原来,56
346,认识,41
347,卧槽,13
348,竟然,39
349,呆,34
350,写,154
351,举手,6
352,找不到,15
353,祖国,10
354,一个个,5
355,秀,2
356,默默,49
357,捧,6
358,英语,13
359,书,18
360,口罩,10
361,赌气,2
362,分手,106
363,有点,37
364,任性,9
365,隔空,2
366,放,100
367,肿,2
368,球,7
369,滚,11
370,那时候,77
371,简单,27
372,就像,83
373,错事,2
374,小孩子,2
375,一只手,2
376,抹,3
377,鼻涕,1
378,死死地,1
379,拉,22
380,楚楚可怜,1
381,花儿,4
382,十周年,3
383,演唱会,37
384,观众,14
385,大张伟,8
386,几度,1
387,哽咽,7
388,下去,30
389,旁边,27
390,郭阳,1
391,默默地,2
392,拿出,9
393,台下,5
394,万千,5
395,拍,31
396,数张,1
397,能不能,12
398,亲爱,5
399,别走,5
400,时至,2
401,今日,4
402,微博,38
403,贝儿,1
404,冒险,2
405,私下,1
406,十五岁,2
407,想过,13
408,死亡,4
409,韩雪,2
410,开心,50
411,痛苦,29
412,快乐好心疼,1
413,以前,114
414,大小,2
415,孩儿,3
416,快活,3
417,人才,11
418,生活,105
419,明白,49
420,哀伤,57
421,不由自主,4
422,切换,3
423,情,14
424,歌王,3
425,节奏,8
426,黎明,2
427,四大,3
428,天王,2
429,拿手,2
430,十年,33
431,狗,43
432,記得,1
433,時候,6
434,同桌,38
435,一個,5
436,完全,23
437,喜歡,9
438,類型,1
439,高,27
440,不帥,1
441,喜歡依賴,1
442,這首歌,1
443,給,3
444,聽,3
445,原來,2
446,感情,83
447,純粹,1
448,什麼,1
449,奢求,2
450,分開,1
451,忍不住,13
452,普及,3
453,张,19
454,在家,9
455,搭,6
456,棚子,1
457,录,13
458,那段,19
459,公司,22
460,效果,5
461,很好,50
462,过去,88
463,浅,2
464,唱走心,1
465,小众,5
466,小嗓,1
467,吃亏,1
468,负面,5
469,消息,26
470,多错过红,1
471,年纪,34
472,大了,2
473,回炉,1
474,炒,6
475,就这样,29
476,可惜,35
477,有很多,8
478,好歌,15
479,很多年,7
480,婺源,1
481,写生,1
482,酒吧,8
483,唱完,11
484,稀,4
485,哗啦,5
486,坚持,50
487,模样,6
488,告白,14
489,活,34
490,好惨,1
491,品冠,1
492,不爱,19
493,陈先生,2
494,4年,4
495,找到,54
496,真心疼,1
497,那个人,31
498,今年,31
499,冬天,26
500,嫁给,14
501,放在,24
502,心,72
503,收,11
504,继续,31
505,幸福,76
506,工作,47
507,从今往后,10
508,不再,45
509,爱你,2
510,珍重,3
511,看不到,11
512,在这里,18
513,不愿,11
514,陪着,19
515,从来没有,10
516,走远从来没有,1
517,离开,81
518,一直都,3
519,原地,8
520,不需要,18
521,未来,39
522,段,23
523,旅程,5
524,陪,73
525,一起走,3
526,不在,37
527,完整,4
528,五月天,9
529,撕心裂肺,10
530,心疼品,1
531,冠,1
532,忧伤,11
533,思念,6
534,极致,2
535,感觉我,2
536,晚安,19
537,醒来,14
538,四次,1
539,那种,48
540,可怕,8
541,朦朦胧胧,1
542,意识,5
543,梦,26
544,梦到,4
545,信息,19
546,梦境,4
547,挣扎,8
548,立马,9
549,翻看,4
550,深入,1
551,骨髓,2
552,放过,6
553,吃完,7
554,一个五斤,3
555,西瓜,18
556,回复,16
557,前奏,42
558,我以为,14
559,月光下,2
560,凤尾竹,1
561,嫁给我是继她态爱,1
562,之后,76
563,三部曲,4
564,终结章,1
565,个人,25
566,观点,2
567,女孩子,32
568,来讲,4
569,重要,35
570,三个字,4
571,吴文青,1
572,树,14
573,山楂果,1
574,落,14
575,酸,6
576,坟,2
577,魂,3
578,北漂狗,1
579,2016年十一月十一日,1
580,周五,1
581,下班,12
582,天津,7
583,见,47
584,一个多月,1
585,女友,20
586,错,29
587,晚,16
588,两个小时,6
589,候车厅,1
590,两小时,1
591,胖,6
592,一米,1
593,七,3
594,个头,3
595,123斤,1
596,高中,104
597,一百斤,1
598,路,46
599,总,100
600,嘟嘟囔囔,1
601,减肥,1
602,减,1
603,老子,9
604,自豪,4
605,养,17
606,想吃火锅,1
607,大笑,48
608,希望,168
609,一份,8
610,婚姻,5
611,爱情,125
612,结婚,119
613,手,48
614,牵,23
615,十指紧扣,1
616,响,7
617,唇吻,1
618,唇红线,1
619,共,3
620,誓言念,1
621,眼,11
622,凝视,3
623,相,15
624,洞房,1
625,入,15
626,腿,6
627,缠,3
628,如痴,1
629,醉梦,1
630,上演,1
631,无数次,5
632,画面,21
633,破碎,3
634,穿心,1
635,利剑,2
636,合着,1
637,飞溅,1
638,血花,1
639,我自己,19
640,生命,34
641,全都,10
642,献给,9
643,从未,18
644,男人,56
645,民谣,69
646,老夫,3
647,少女心,2
648,夏天,30
649,悄悄,5
650,秘密,9
651,初恋女友,3
652,什什,1
653,说生,1
654,一双,4
655,儿女,8
656,东东西西加,1
657,东西,58
658,逝年,2
659,奶茶,6
660,青春,103
661,放学,8
662,夕阳,6
663,喝,40
664,味道,25
665,店里,3
666,老板,21
667,原味,2
668,点,76
669,珍珠,4
670,瞄,2
671,学长,2
672,说话,35
673,咕噜,2
674,冒泡,1
675,香香甜甜,1
676,不知道,146
677,沉醉,4
678,悠远,1
679,地球,4
680,两个人,28
681,相遇,15
682,不容易,10
683,情人,10
684,刘若英,2
685,风格,26
686,成全,6
687,一辈子,47
688,孤单,17
689,不善,1
690,前任,14
691,和好,3
692,总会,24
693,重蹈覆辙,2
694,爱上,45
695,第六年,3
696,那天,67
697,忘,35
698,钱包,4
699,二十块,3
700,塞,7
701,手里,17
702,犹豫,7
703,花钱,3
704,够,9
705,说着,10
706,50块,4
707,塞进,6
708,暖,9
709,书上,3
710,呼,1
711,一口气,11
712,二氧化碳,2
713,分子,1
714,身体,11
715,进入,9
716,大气,8
717,身边,57
718,一棵,4
719,小草,1
720,环流,1
721,飘,7
722,异国,2
723,乡,4
724,我心中,7
725,膨胀,1
726,翻滚,4
727,想念,12
728,呼吸急急忙忙,1
729,涌,8
730,感受到,7
731,想说,26
732,好想,17
733,贪心,1
734,等待,19
735,左顾右盼,1
736,世界,59
737,有限,3
738,更好,27
739,看见,41
740,柴静,2
741,采访,8
742,星爷,12
743,听得,19
744,瞬哭,1
745,回应,8
746,电影,49
747,怕,55
748,这些年,9
749,越来越,34
750,少,27
751,对不起,16
752,老,70
753,大话西游的结尾有句话,1
754,好奇怪,5
755,条狗,6
756,放弃,30
757,人间,7
758,男女,16
759,情欢,1
760,无欲无念,1
761,兢兢业业,1
762,西天,2
763,取经,4
764,路上,32
765,至尊宝,4
766,收起,2
767,脾气,6
768,火气,1
769,淘气,3
770,只顾,1
771,奔波,3
772,职场,1
773,百年,5
774,不曾,14
775,闹天宫,1
776,头上,3
777,紧,5
778,箍,1
779,层楼,1
780,上路,4
781,吐槽,8
782,舒淇,2
783,差,20
784,榜赞,1
785,恰好,9
786,抓,18
787,承认,5
788,我我,29
789,第一次,102
790,见到,17
791,有多爱好,1
792,多久,13
793,一千年,1
794,一万年,5
795,久,41
796,王菲,52
797,OST,1
798,最具,2
799,艺术,4
800,价值,7
801,抽象,1
802,不散乱,1
803,朦胧,7
804,麻木,3
805,恰如,1
806,抓不住,3
807,昨天,31
808,大家一起唱,1
809,爱爱,2
810,瞬间,29
811,泪,13
812,崩,3
813,两声,1
814,字,36
815,叹息,5
816,声,26
817,才是,45
818,骄傲,15
819,走调,2
820,金海心,4
821,金海,1
822,心内,1
823,歌声,19
824,出名,3
825,周玥,1
826,一栋,2
827,寝室,19
828,想到,56
829,糟糕,3
830,醒,16
831,早,19
832,呆呆呆呆呆,1
833,蔡健雅,11
834,理科,2
835,生唱,1
836,达尔文,1
837,抛物线,1
838,夜盲症,1
839,失忆症,1
840,空白格,2
841,双栖,1
842,动物,7
843,男,36
844,李宗,1
845,盛女,1
846,看破,4
847,遗憾,11
848,理智,5
849,情感,15
850,不舍,3
851,伤感,8
852,词句,2
853,吟唱,4
854,进化,3
855,敏感,7
856,隐藏,4
857,对头开口,1
858,两句,6
859,确定,5
860,判断,2
861,干脆,2
862,果断,3
863,拜,16
864,变成,61
865,孤独,62
866,时刻,8
867,千里迢迢,2
868,背井离乡,1
869,夜晚,16
870,万家灯火,1
871,许多人,2
872,一首歌,59
873,都会,91
874,习惯性,3
875,开,61
876,看看,28
877,共同,8
878,产生,6
879,不同,25
880,微笑,29
881,祝福,40
882,和平,6
883,分开,33
884,在心里,6
885,选择,39
886,伴侣,4
887,祈祷,2
888,拥有,24
889,实质性,3
890,名义,4
891,代替,5
892,外面,11
893,三年,36
894,半,12
895,回到,25
896,笼子,3
897,想当,1
898,英雄,3
899,变,45
900,超人,1
901,成为,36
902,光环,1
903,围绕,1
904,很厉害,3
905,普通人,5
906,一只猫,2
907,小房子,2
908,爱人,16
909,池塘,3
910,泥鳅,1
911,很丑,3
912,喜庆,1
913,癞哈蟆,1
914,马虎,1
915,有趣,4
916,田螺,1
917,自闭症,2
918,鲫鱼,1
919,女神,26
920,听说,15
921,江河湖海,1
922,更大,2
923,出去,23
924,美丽,17
925,海豚,1
926,雄壮,1
927,白鲸,1
928,婀娜多姿,1
929,热带鱼,1
930,偶尔,24
931,空,8
932,咸,2
933,心酸,19
934,放手,7
935,多年以后,1
936,怪,21
937,恨,15
938,感动,72
939,心碎心碎,2
940,心碎,21
941,高三,43
942,高考,53
943,第一,18
944,印象,21
945,哇好,1
946,几个月,3
947,用上,2
948,撇嘴,36
949,天天,20
950,现场,29
951,直播,6
952,风,39
953,很大,10
954,12月,1
955,2014年,3
956,即将,14
957,平行,5
958,林俊杰,36
959,算是,9
960,天才,3
961,还会,16
962,dota,3
963,皱,5
964,下眉,1
965,慌张,1
966,紧张,6
967,新加坡,1
968,服兵役,1
969,不得不,14
970,分手后,8
971,音乐人,14
972,张惠妹,2
973,萧敬腾,2
974,还记得,41
975,一任么,1
976,显得,12
977,花心,4
978,薄,4
979,走路,12
980,撞上,1
981,电线杆,3
982,痛,29
983,绕,11
984,很久,41
985,撞,4
986,依然,46
987,清晰,13
988,说过,31
989,聊,20
990,事,78
991,评价,8
992,玩笑,4
993,真话,1
994,第一句,18
995,最后一句话,1
996,残忍,4
997,这么多,20
998,预测,1
999,年龄,22
1000,范围,3
1001,1722,1
1002,准,3
1003,不准,5
1004,可爱,85
1005,张栋梁,1
1006,丑,11
1007,妈蛋,7
1008,年代,20
1009,小学,45
1010,最爱,46
1011,pasta,1
1012,遍,14
1013,年纪小对灰姑娘的故事很喜欢百听不厌,1
1014,何群,1
1015,酷,6
1016,成晓诗,1
1017,不999,1
1018,满满,18
1019,当初,52
1020,点播,5
1021,台花,1
1022,200多,1
1023,爽,3
1024,老妈,9
1025,暴,1
1026,揍,4
1027,一顿,9
1028,95年,2
1029,没听过,9
1030,小时候,80
1031,mv,12
1032,姐姐,21
1033,流鼻血,1
1034,这道,1
1035,菜,7
1036,群英会,1
1037,萃,1
1038,八十一点,2
1039,不贵,3
1040,脆,7
1041,这么脆,2
1042,开车,9
1043,老爸,7
1044,累,26
1045,道,18
1046,群英荟萃,1
1047,过来,27
1048,看一看,1
1049,亲口,3
1050,尝一尝,1
1051,嘴里,11
1052,相信,50
1053,尝,7
1054,一块,11
1055,嚼,11
1056,确实,20
1057,奸,1
1058,笑,68
1059,脆奸,1
1060,问问,1
1061,一盘,2
1062,萝卜,3
1063,画,14
1064,浓妆,1
1065,没有人,17
1066,烫,1
1067,狮子,2
1068,卷,1
1069,头发,26
1070,自然,9
1071,甜,19
1072,很容易,4
1073,纯真,3
1074,笑脸,3
1075,阿斯匹林,1
1076,治愈,3
1077,病,7
1078,福尔马林,1
1079,死,49
1080,浸没,1
1081,一寸,1
1082,地方,56
1083,似,21
1084,张悬,11
1085,陈绮贞,6
1086,陈粒,25
1087,羞赧,1
1088,表象,2
1089,赤裸裸,2
1090,渴望,15
1091,常态,3
1092,一颗颗,1
1093,寂寞,14
1094,躲,22
1095,被窝,8
1096,界,2
1097,女,52
1098,流氓,6
1099,漫画,4
1100,十二点,1
1101,灰姑娘,4
1102,曲调,6
1103,配,18
1104,词,47
1105,柔软,8
1106,透出,1
1107,强硬,2
1108,霸气,2
1109,柔弱,6
1110,占有,5
1111,干净,15
1112,完美,19
1113,燃起,1
1114,袅袅,2
1115,烟雾,1
1116,沉迷,2
1117,祝星,6
1118,转过,1
1119,一条,16
1120,站,46
1121,万众,2
1122,瞩目,2
1123,台上,5
1124,人群,11
1125,只有我,19
1126,正,19
1127,装,20
1128,穿着,18
1129,小熊,3
1130,袜子,1
1131,知晓,1
1132,敬,6
1133,条,16
1134,汉子,7
1135,最爱的人,6
1136,为名,1
1137,浪漫,13
1138,事情,39
1139,劈腿,5
1140,删,21
1141,想了想,3
1142,一个男人,14
1143,英国,5
1144,看完,19
1145,飞,12
1146,回去,15
1147,分不开,2
1148,放不下,3
1149,永恒,3
1150,蓝色,4
1151,阿凡达,1
1152,说道,5
1153,舍友,14
1154,半晚,1
1155,被子,16
1156,电脑,13
1157,阿戴尔,1
1158,英文,11
1159,直译,1
1160,无限,11
1161,接近,4
1162,温暖,32
1163,蓝,6
1164,心情不好,5
1165,便利贴,2
1166,贴,7
1167,位置,9
1168,桌子,13
1169,习惯,15
1170,忽然,21
1171,一张,29
1172,加,21
1173,一句话,26
1174,海蓝色,1
1175,鱼儿,1
1176,鸟儿,1
1177,依海,1
1178,倚天而生,1
1179,生物,2
1180,别不,1
1181,很感动,2
1182,五年前,4
1183,带给,8
1184,惊喜,5
1185,李霄云,2
1186,加油,30
1187,期待,28
1188,新歌,25
1189,初恋,33
1190,尴尬,11
1191,扭捏,2
1192,大大方方,2
1193,看上,2
1194,漂亮,21
1195,有气质,2
1196,妒忌,2
