更新时间,#genre#
2025-07-30 15:32:41,url
CCTV频道,#genre#
朝鲜CCTV,http://tv.nknews.org/tvhls/stream.m3u8
韩国lKCTVCCTV台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
卫视频道,#genre#
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
北京体育,http://stream.guihet.com/tv/116.php
山东德州公共,http://video.dztv.tv:1935/live/dzgg_bq/playlist.m3u8
山东德州图文,http://video.dztv.tv:1935/live/dztw_bq/playlist.m3u8
山东德州新闻,http://video.dztv.tv:1935/live/xwzh_bq/playlist.m3u8
山东青州生活,http://sdqz.chinashadt.com:2036/live/stream:2.stream/playlist.m3u8
广东河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
广东河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
晋江卫视,http://stream.jinjiang.tv/1/sd/live.m3u8
江苏体育,http://8.138.7.223/tv/jstv.php
江苏卫视,http://8.138.7.223/tv/jstv.php
江苏国际,http://8.138.7.223/tv/jstv.php
江苏城市,https://epg.pw/stream/675206b8446ce719bfb293b5a5296db3aa26521c9810de7c996838247cc56964.m3u8
江苏城市,http://8.138.7.223/tv/jstv.php
江苏影视,http://8.138.7.223/tv/jstv.php
江苏徐州张家港新闻综合,http://3gvod.zjgonline.com.cn:1935/live/xinwenzonghe2/playlist.m3u8
江苏徐州张家港社会生活,http://3gvod.zjgonline.com.cn:1935/live/shehuishenghuo2/playlist.m3u8
江苏教育,http://8.138.7.223/tv/jstv.php
江苏新闻,http://8.138.7.223/tv/jstv.php
江苏栖霞新闻,http://pili-live-hls.140.i2863.com/i2863-140/live_140_236499.m3u8
江苏武进新闻,http://live.wjyanghu.com/live/CH1.m3u8
江苏武进生活,http://live.wjyanghu.com/live/CH2.m3u8
江苏综艺,https://epg.pw/stream/f8ef469943662bed2abc6609d9ef1720b9e93a8a0bd6f5789133461e36763f37.m3u8
江苏综艺,http://8.138.7.223/tv/jstv.php
江苏靖江新闻综合,http://visit.jjbctv.com:1935/live/xwzhmb/playlist.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
