更新时间,#genre#

其他,#genre#
2025-07-24 14:32:46,url
地下交通站,http://cfss.cc/cdn/hy/11342433.flv
新雪豹,http://cfss.cc/cdn/hy/29580970.flv
孙悟空,http://cfss.cc/cdn/hy/23735126.flv
外科医生,http://cfss.cc/cdn/hy/29982672.flv
楚汉骄雄,http://cfss.cc/cdn/hy/23740156.flv
十大奇冤,http://cfss.cc/cdn/hy/11352899.flv
老三国,http://cfss.cc/cdn/hy/11602081.flv
孙红雷,http://cfss.cc/cdn/hy/11601970.flv
绝代双骄,http://cfss.cc/cdn/hy/29465867.flv
秦始皇,http://cfss.cc/cdn/hy/21059634.flv
洗冤录,http://cfss.cc/cdn/hy/23903130.flv
爱情公寓,http://cfss.cc/cdn/hy/11336726.flv
法证先锋,http://cfss.cc/cdn/hy/23863804.flv
创世纪,http://cfss.cc/cdn/hy/23749083.flv
杨紫,http://cfss.cc/cdn/hy/11336593.flv
鬼吹灯,http://cfss.cc/cdn/hy/11352883.flv
龙岭迷窟,http://cfss.cc/cdn/hy/29465863.flv
斗罗大陆,http://cfss.cc/cdn/hy/11352906.flv
陀枪师姐,http://cfss.cc/cdn/hy/23860039.flv
大时代,http://cfss.cc/cdn/hy/23865161.flv

国产科幻,#genre#
国产科幻(试播),http://cfss.cc/cdn/hy/11602077.flv

新闻,#genre#
无线新闻,http://61.10.2.140/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线新闻,http://61.10.2.134:80/live_freedirect/freehd209_h.live/chunklist.m3u8
有线新闻,http://61.10.2.146/live_freedirect/freehd209_h.live/playlist.m3u8
有线新闻,http://61.10.2.141:80/live_freedirect/freehd209_h.live/chunklist.m3u8
有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8

有翡,#genre#
有翡(试播),http://cfss.cc/cdn/hy/29580970.flv

港澳台,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
无线财经,http://61.10.2.151:80/live_freedirect/freehd209_h.live/chunklist_w1201085709.m3u8
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
凤凰香港,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=7f8507cfa60db427e4e2182f-172952821550843&wsIPSercert=d6c6e0eb3334dae575d187fdb1f07f7a
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
无线财经,http://61.10.2.140/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
明珠台,https://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8
无线财经,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
无线财经,http://61.10.2.141:80/live_freedirect/freehd209_h.live/chunklist.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8
无线财经,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0

电影,#genre#
电影_斯坦森,http://cfss.cc/cdn/hy/21059588.flv
电影_战争片,http://cfss.cc/cdn/hy/21059574.flv
电影_不挤影院,http://cfss.cc/cdn/hy/11352897.flv
电影_嫣然影厅,http://cfss.cc/cdn/hy/11601977.flv
电影_功夫片,http://cfss.cc/cdn/hy/11352941.flv
电影_战争,http://cfss.cc/cdn/hy/21059592.flv
电影_镖行天下,http://cfss.cc/cdn/hy/11352969.flv
电影_贺岁片,http://cfss.cc/cdn/hy/11601986.flv
电影_欢笑影院,http://cfss.cc/cdn/hy/11352894.flv
电影_玄幻,http://cfss.cc/cdn/hy/11342414.flv
电影_周星星,http://cfss.cc/cdn/hy/11336587.flv
电影_谍战,http://cfss.cc/cdn/hy/21059585.flv
电影_喜剧,http://cfss.cc/cdn/hy/11352877.flv
电影_经典港片,http://cfss.cc/cdn/hy/11352965.flv
电影_喜剧专场,http://cfss.cc/cdn/hy/11602044.flv

电视剧,#genre#
芈月传,http://cfss.cc/cdn/hy/11352975.flv
张卫健版鹿鼎记,http://cfss.cc/cdn/hy/26355806.flv
宝莲灯前传,http://cfss.cc/cdn/hy/21059557.flv
寻秦记,http://cfss.cc/cdn/hy/23864973.flv
鹿鼎记小春版,http://cfss.cc/cdn/hy/23865080.flv
大唐双龙传,http://cfss.cc/cdn/hy/23728674.flv
王子变青蛙,http://cfss.cc/cdn/hy/11601964.flv
宫斗剧,http://cfss.cc/cdn/hy/29465868.flv
天龙八部97版,http://cfss.cc/cdn/hy/23903123.flv
86版西游记,http://cfss.cc/cdn/hy/26355861.flv
雍正王朝,http://cfss.cc/cdn/hy/11342439.flv
士兵突击,http://cfss.cc/cdn/hy/11342430.flv
贺岁喜剧,http://cfss.cc/cdn/hy/11601986.flv
