频道名称,URL,响应时间(ms),分辨率,码率(kbps),帧率(fps),稳定性
其他频道,#genre#
TVBJ1,https://cdn3.163189.xyz/live/j1/stream.m3u8,11253,1920x1080,0,29.97002997002997,True
中天,http://cdn.iptv8k.top/dl/jspd.php,11495,1920x1080,257,60.0,True
电影_战争片,http://cfss.cc/cdn/hy/21059574.flv,12162,1280x720,0,30.0,True
电影_玄幻,http://cfss.cc/cdn/hy/11342414.flv,12482,1280x720,0,30.0,True
电影_王晶,http://cfss.cc/cdn/hy/11602058.flv,12564,1280x720,0,30.0,True
电影_周星星,http://cfss.cc/cdn/hy/11336587.flv,12718,1280x720,0,25.0,True
电影_贺岁片,http://cfss.cc/cdn/hy/11601986.flv,12776,1280x720,0,23.0,True
电影_经典港片,http://cfss.cc/cdn/hy/11352965.flv,12778,1280x720,0,30.0,True
电影_欢笑影院,http://cfss.cc/cdn/hy/11352894.flv,12838,1280x720,0,30.0,True
电影_嫣然影厅,http://cfss.cc/cdn/hy/11601977.flv,12907,1280x720,0,24.0,True
ROCKENTERTAINMENT,https://epg.pw/stream/8c8f12557120af11c0343207e354cbbaf692b5d271cb873dd58cc9632bb99845.ctv,12963,1280x720,0,25.0,True
HBOHD,https://epg.pw/stream/156d03c0710822ea87e710bd95411696255a5781cccce994c16990cc4cc3706e.ctv,13019,1280x720,0,25.0,True
电影_黄渤,http://cfss.cc/cdn/hy/11352876.flv,13136,1280x720,0,25.0,True
电影_成龙,http://cfss.cc/cdn/hy/11342386.flv,13143,1280x720,1331,24.0,True
电影_许冠英,http://cfss.cc/cdn/hy/11601972.flv,13202,1280x720,1331,30.0,True
电影_谍战,http://cfss.cc/cdn/hy/21059585.flv,13301,1280x720,860,25.0,True
东森,https://stream1.freetv.fun/dong-sen-chao-shi-2.ctv,13559,1280x720,315,30.0,True
电影_快意江湖,http://cfss.cc/cdn/hy/11342435.flv,13606,1920x1072,2764,30.0,True
电影_漫威,http://cfss.cc/cdn/hy/11602034.flv,13610,1920x958,0,23.0,True
电影_战争,http://cfss.cc/cdn/hy/21059592.flv,13629,1920x1080,0,25.0,True
电影_梁家辉,http://cfss.cc/cdn/hy/11342429.flv,13700,1280x720,2867,24.0,True
电影_黑帮斗争,http://cfss.cc/cdn/hy/11342419.flv,13740,1280x720,1599,30.0,True
电影_动作电影,http://cfss.cc/cdn/hy/11602077.flv,13753,1280x720,0,25.0,True
电影_沈腾,http://cfss.cc/cdn/hy/11601968.flv,13962,1920x752,0,24.0,True
电影_星爷,http://cfss.cc/cdn/hy/11342412.flv,14375,1920x1012,0,23.25,True
电影_不挤影院,http://cfss.cc/cdn/hy/11352897.flv,15016,1280x720,0,30.0,True
电影_喜乐影院,http://cfss.cc/cdn/hy/21059580.flv,15375,1920x1080,3205,25.0,True
