link,node_count
104.225.155.135,1
subs.zhabka.su,0
46.62.174.233,3
proxy-phone.zheyu.one,485
yaml.51tracking.com,210
clash.554556.xyz,162
317.marscode.top,138
proxy.zheyu.one,96
dy.kkr.qzz.io,2399
clash.spdt.work,2399
ovo.subikun.nyc.mn,93
mjj.oldzhg.com,82
139.9.83.218:7777,42
205.198.71.21:8088,8
dy.5468936.xyz,0
clash.jccm.top,27
62.234.102.201:102,25
clash.chatwin.site,0
www.yjfmj.com:102,25
dingyue.davesuen.store,22
www.yjkqm.com:102,25
www.yjktfj.com:102,25
38.54.50.246:10002,73
yun.9982597.xyz,17
jdxz.20051212.xyz,9
yaml.spdf.qzz.io,6
fq.lqiang.link,9
yaml.aqua.xx.kg,6
38.54.1.126:10003,73
proxy-mini.zheyu.one,6
sub.12435768.xyz,5
x.12435768.xyz,5
x.40609891.xyz,5
sub.40609891.xyz,5
4th.pp.ua,4
scotime.ggff.net,4
38.47.104.61:8080,2
stash.0000002.best,2
clash-nick-a9a1.nickdomain.eu.org,2
47.254.120.126:8123,1
clash.zyttbywy.xyz,2
clash.phpman.top,1
config-yaml.vowers.cn,0
vpn.020906.xyz,1
warpip.irss.eu.org,0
warpym.irss.eu.org,0
107.174.90.140:8080,1
42.194.239.79,2
65.75.222.10:8088,0
51.178.80.31:9480,8
sub.pro-brain.com,8
82.157.140.187:3000,151
www.gaofumei.net,9
dev1.irdevs.sbs,115
quiz.int.vidio.com.yaya.web.id,44
yaya.web.id,44
edu.ruangguru.com.yaya.web.id,44
tsg-dhy.pages.dev,1
ava.game.naver.com.yaya.web.id,44
240804.cfsub.cloudns.be,12
aling.aple.cloudns.be,6
chromego-sub.netlify.app/sub/merged_proxies_new.yaml,85
myclash.dailyoff.no/clash,751
cf.vless.sandesh.fr,104
64.110.64.145/sf.yaml,229
64.110.64.145/clash.yaml,118
archlinux-desktop.sergionator.duckdns.org,1
64.110.64.145/openclash.yaml,118
14.103.171.30:9999/config.yaml,46
64.110.64.145/new.yaml,45
65.21.210.87:8000,0
