频道名称,URL,响应时间(ms),分辨率,码率(kbps),帧率(fps),稳定性
其他频道,#genre#
TVB无线新闻,http://cdn.iptv8k.top/dl/jspd.php,13492,1920x1080,257,60.0,True
烟公共,http://live.yantaitv.cn/live/e50f104a4ffe4a41b2217cbda534146f/d86092e69df94668b33390278b061700-1.m3u8,13697,1280x720,0,25.0,True
烟新闻综合,http://live.yantaitv.cn/live/3e81a8879da44c5dadf3bd9c10468e1c/9b776d420ee4438199b7657c8eb88f07-1.m3u8,13734,1280x720,0,25.0,True
TVB无线新闻,https://cdn.iptv8k.top/dl/jspd.php,13803,1920x1080,257,60.0,True
烟影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129-1.m3u8,14247,1280x720,0,25.0,True
虎牙TVB西游记,http://live.nctv.top/DJlio/huya.php,15223,1920x1024,0,60.0,True
成龙,http://www.52sw.top:678/play/huya.php,15632,1920x1024,8192,60.0,True
烟经济科技,http://live.yantaitv.cn/live/27f84144e95a4652ae9e5c211b2a6b55/405f3e33ba384aa0a16014d0becd1261-1.m3u8,15776,1280x720,0,25.0,True
广州法治,http://php.jdshipin.com:8880/gztv.php,16198,1280x720,0,25.0,True
林正英,http://www.52sw.top:678/play/huya.php,17871,1920x1080,0,60.0,True
李连杰,http://www.52sw.top:678/play/huya.php,18674,1920x1024,0,24.416666666666668,True
通海电视,https://zb-live.ynurl.com/tonghai/3bfe3a9e-48e6-4c1e-8770-1df66447cc6c.m3u8,43527,1920x1080,0,25.0,True
