上海频道,#genre#
哈哈炫动,http://180.158.165.218:4022/udp/239.45.1.55:5140
哈哈炫动,http://120.238.94.10:9901/tsfile/live/1037_1.m3u8
第一财经,http://ls.qingting.fm/live/276.m3u8
上海教育,http://218.1.138.200:4022/udp/239.45.0.13:5140
上海教育,http://180.158.165.218:4022/udp/239.45.0.13:5140
上海第一财经,http://125.118.21.66:4022/udp/233.50.200.125:5140
上视外语,http://218.1.138.200:4022/udp/239.45.1.127:5140
都市剧场,http://183.237.95.108:9901/tsfile/live/1069_1.m3u8
上海纪实人文,http://180.158.165.218:4022/udp/239.45.3.212:5140
欢笑剧场,http://180.213.174.225:9901/tsfile/live/1036_1.m3u8
新闻综合,http://p2.vzan.com/slowlive/596867413819827251/live.m3u8
新闻综合,http://stream2.qhbtv.com/xwzh/playlist.m3u8
新闻综合,http://180.158.165.218:4022/udp/239.45.3.209:5140
第一财经,http://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
生活时尚,http://180.213.174.225:9901/tsfile/live/1038_1.m3u8
上海纪实人文,http://60.26.181.87:4022/udp/225.1.2.25:5002
法治天地,http://218.1.138.200:4022/udp/239.45.1.46:5140
东方财经,http://218.1.138.200:4022/udp/239.45.0.17:5140
全纪实,http://180.213.174.225:9901/tsfile/live/1039_1.m3u8
哈哈炫动,http://61.138.128.226:19901/tsfile/live/1016_1.m3u8
都市剧场,http://120.76.248.139/live/bfgd/4200000168.m3u8
欢笑剧场,http://180.158.165.218:4022/udp/239.45.1.4:5140
上视外语,http://180.158.165.218:4022/udp/239.45.1.127:5140
东方影视,http://218.1.138.200:4022/udp/239.45.3.237:5140
上海纪实人文,http://218.1.138.200:4022/udp/239.45.3.212:5140
第一财经,http://180.158.165.218:4022/udp/239.45.3.211:5140
七彩戏剧,http://180.158.165.218:4022/udp/239.45.0.16:5140
哈哈炫动,http://iptv.tvfix.org/hls/hhxdhd.m3u8
纪实人文,http://iptv.tvfix.org/hls/docuchina.m3u8
全纪实,http://iptv.tvfix.org/hls/qjshd.m3u8
动漫秀场,http://36.129.204.117:9003//hls/67/index.m3u8
新闻综合,http://218.1.138.200:4022/udp/239.45.3.209:5140
哈哈炫动,http://58.57.40.22:9901/tsfile/live/1061_1.m3u8
第一财经,http://218.1.138.200:4022/udp/239.45.3.211:5140
哈哈炫动,http://113.9.31.17:4000/rtp/229.58.190.96:5000
哈哈炫动,http://218.1.138.200:4022/udp/239.45.1.55:5140
法治天地,http://180.158.165.218:4022/udp/239.45.1.46:5140
东方影视,http://180.158.165.218:4022/udp/239.45.3.237:5140
七彩戏剧,http://218.1.138.200:4022/udp/239.45.0.16:5140
上海第一财经,https://satellitepull.cnr.cn/live/wx32dycjgb/playlist.m3u8
都市剧场,http://180.213.174.225:9901/tsfile/live/1040_1.m3u8
动漫秀场,http://180.213.174.225:9901/tsfile/live/1034_1.m3u8
上海第一财经,http://115.227.64.95:4022/udp/233.50.200.125:5140
都市剧场,http://112.46.105.20:8009/hls/72/index.m3u8
东方财经,http://180.158.165.218:4022/udp/239.45.0.17:5140
哈哈炫动,http://221.213.91.104:9901/tsfile/live/1007_1.m3u8
欢笑剧场,http://218.1.138.200:4022/udp/239.45.1.4:5140
上海纪实人文,http://121.29.141.230:4022/rtp/239.253.92.99:6013
第一财经,http://a1live.livecdn.yicai.com/live/radio_tv.m3u8
