卫视频道,#genre#
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
湖南卫视,https://txmov2.a.kwimgs.com/bs3/video-hls/5199687338554291078_hlsb.m3u8
凤凰卫视,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV43.m3u8
凤凰卫视,http://php.jdshipin.com:8880/smt.php
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
北京卫视,https://live-hls-web-ajb.getaj.net/AJB/01.m3u8
江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4
莲花卫视,http://php.jdshipin.com:8880/amlh.php
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$720x576
延边卫视,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
三沙卫视,http://kkk.jjjj.jiduo.me/api.php
内蒙古卫视,http://kkk.jjjj.jiduo.me/api.php
辽宁卫视,http://kkk.jjjj.jiduo.me/api.php
南方卫视,http://kkk.jjjj.jiduo.me/api.php
江西卫视,http://kkk.jjjj.jiduo.me/api.php
安徽卫视,http://kkk.jjjj.jiduo.me/api.php
江苏卫视,http://kkk.jjjj.jiduo.me/api.php
重庆卫视,http://kkk.jjjj.jiduo.me/api.php
新疆卫视,http://kkk.jjjj.jiduo.me/api.php
农林卫视,http://kkk.jjjj.jiduo.me/api.php
云南卫视,http://kkk.jjjj.jiduo.me/api.php
北京卫视,http://kkk.jjjj.jiduo.me/api.php
安多卫视,http://kkk.jjjj.jiduo.me/api.php
湖南卫视,http://kkk.jjjj.jiduo.me/api.php
青海卫视,http://kkk.jjjj.jiduo.me/api.php
兵团卫视,http://kkk.jjjj.jiduo.me/api.php
西藏卫视,http://kkk.jjjj.jiduo.me/api.php
广东卫视,http://kkk.jjjj.jiduo.me/api.php
香港卫视,http://kkk.jjjj.jiduo.me/api.php
延边卫视,http://kkk.jjjj.jiduo.me/api.php
海南卫视,http://kkk.jjjj.jiduo.me/api.php
贵州卫视,http://kkk.jjjj.jiduo.me/api.php
山东卫视,http://kkk.jjjj.jiduo.me/api.php
河南卫视,http://kkk.jjjj.jiduo.me/api.php
浙江卫视,http://kkk.jjjj.jiduo.me/api.php
甘肃卫视,http://kkk.jjjj.jiduo.me/api.php
东方卫视,http://kkk.jjjj.jiduo.me/api.php
湖北卫视,http://kkk.jjjj.jiduo.me/api.php
山西卫视,http://kkk.jjjj.jiduo.me/api.php
山东教育卫视,http://kkk.jjjj.jiduo.me/api.php
宁夏卫视,http://kkk.jjjj.jiduo.me/api.php
东南卫视,http://kkk.jjjj.jiduo.me/api.php
陕西卫视,http://kkk.jjjj.jiduo.me/api.php
吉林卫视,http://kkk.jjjj.jiduo.me/api.php
黑龙江卫视,http://kkk.jjjj.jiduo.me/api.php
天津卫视,http://kkk.jjjj.jiduo.me/api.php
厦门卫视,http://kkk.jjjj.jiduo.me/api.php
四川卫视,http://kkk.jjjj.jiduo.me/api.php
康巴卫视,http://kkk.jjjj.jiduo.me/api.php
河北卫视,http://kkk.jjjj.jiduo.me/api.php
广西卫视,http://kkk.jjjj.jiduo.me/api.php
