安徽频道,#genre#
灵璧综合,http://kkk.jjjj.jiduo.me/api.php
淮南新闻综合,http://kkk.jjjj.jiduo.me/api.php
广德生活,https://live.gdtv.ah.cn/live/newsTV.m3u8
滁州科教,http://live.cztv.cc:85/live/sjpd.m3u8
铜陵新闻综合,https://ls.qingting.fm/live/21303/64k.m3u8
滁州新闻综合,http://live.cztv.cc:85/live/xwpd.m3u8
滁州新闻综合,http://kkk.jjjj.jiduo.me/api.php
安徽影院,http://kkk.jjjj.jiduo.me/api.php
安徽经济生活,http://203.205.191.53/live.ahsx.ahtv.cn/live/jjshtv.m3u8
滁州公共,http://live.cztv.cc:85/live/ggpd.m3u8
滁州公共,http://kkk.jjjj.jiduo.me/api.php
芜湖新闻综合,http://kkk.jjjj.jiduo.me/api.php
亳州新闻,http://zbbf2.ahbztv.com/live/416.m3u8
宿州公共,http://kkk.jjjj.jiduo.me/api.php
涡阳新闻综合,http://220.180.124.18:888/live/ch0.m3u8
黄山新闻综合,http://kkk.jjjj.jiduo.me/api.php
固镇新闻,http://kkk.jjjj.jiduo.me/api.php
亳州农村,http://zbbf2.ahbztv.com/live/418.m3u8
祁门综合,http://live.cztv.cc:85/live/sjpd.m3u8
滁州科教,http://kkk.jjjj.jiduo.me/api.php
固镇新闻,http://www.guzhenm.com:7001/hls/hd-live.m3u8
