少儿和动画频道,#genre#
金鹰卡通,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnRlcm09NSZxaWQ9JmNkbmV4X2lkPWh3X3Bob25lJmNocz0mZGVmPTEmcz01NGFlNDBmN2ZjYmM1M2ExMmExMzNhM2RiYjNmODI0YyZ1aWQ9JnV1aWQ9M2ZjZGU1NjBmZTNiNjgyNTU3NTcwNWMxM2VmYzZlNDItNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTc0OTMzMzQxOQ,,/JYKTMPP360.m3u8
优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
金鹰卡通,http://116.128.242.83:9901/tsfile/live/1002_1.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
龙华卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
靖天卡通,https://pixman.mytvsuper.com.mp/Smart.php
金鹰卡通,http://58.19.43.46:9901/tsfile/live/1000_1.m3u8
少儿动画,http://61.138.128.226:19901/tsfile/live/1017_1.m3u8
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8
南京少儿,https://live.nbs.cn/channels/njtv/sepd/nbs23.m3u8
优漫卡通,http://58.221.214.82:9901/tsfile/live/0008_2.m3u8
福州电视少儿(FZTV少儿),http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
浙江少儿,https://qiniup-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
金鹰卡通,http://61.138.128.226:19901/tsfile/live/1018_1.m3u8
金鹰卡通,http://58.57.40.22:9901/tsfile/live/1059_1.m3u8
靖天卡通,https://smart.pendy.dpdns.org/Smart.php
