广东频道,#genre#
广东新闻,https://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
汕头经济,http://120.77.205.62:8087/rtp/239.253.43.43:5146$组播源
广州影视,http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8
广州综合,http://php.jdshipin.com:8880/TVOD/iptv.php
广州影视,http://nn.7x9d.cn/地方台8563/gsw.php
南国都市,http://player.521fanli.cn/1691/gd/gztvm3u8.php
广州竞赛,http://8.138.7.223/tv/gzjs.m3u8
广东珠江,http://cdn2.132.us.kg/live/gdzj/stream.m3u8
广东新闻,http://satellitepull.cnr.cn/live/wxgdxwgb/playlist.m3u8
深圳少儿,http://120.76.248.139/live/otvgd/51.m3u8
汕头综合,http://120.77.205.62:8087/rtp/239.253.43.30:5146$组播源
广东珠江,https://tv.cdn.com.mp/live/gdzj/stream.m3u8
广东珠江,http://1b6467f415.iok.la:9931/tsfile/live/1011_1.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
深圳财经生活,http://120.76.248.139/live/otvgd/48.m3u8
河源公共,https://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
广州竞赛,http://tencentplaygsm.gztv.com/live/jingsai.m3u8
广州竞赛,http://nn.7x9d.cn/地方台8563/gsw.php
深圳财经生活,http://php.jdshipin.com:8880/TVOD/iptv.php
广州综合,http://nn.7x9d.cn/地方台8563/gsw.php
广州竞赛,http://tencentplaygzrb01.gztv.com/live/jingsai.m3u8
广东珠江,http://cdn2.163189.xyz/live/gdzj/stream.m3u8
广州综合,http://tencentplaygzrb01.gztv.com/live/zonghes.m3u8
广东珠江,http://php.jdshipin.com:8880/TVOD/iptv.php
广东珠江,http://php.jdshipin.com/TVOD/iptv.php
广州影视,http://php.jdshipin.com:8880/TVOD/iptv.php
汕头综合,http://php.jdshipin.com:8880/PLTV/iptv.php
