江西频道,#genre#
江西公共农业,http://php.jdshipin.com:8880/TVOD/iptv.php
江西教育,http://php.jdshipin.com:8880/TVOD/iptv.php
江西新闻,http://php.jdshipin.com:8880/TVOD/iptv.php
江西都市,http://php.jdshipin.com:8880/TVOD/iptv.php
江西经济生活,http://php.jdshipin.com:8880/TVOD/iptv.php
赣州新闻综合,http://115.150.63.77:9902/tsfile/live/0001_50.m3u8
萍乡公共,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_px_ggpd.m3u8
武宁新闻综合,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_wuning.m3u8
萍乡新闻综合,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_px_xwzh.m3u8
余干综合,http://live02.jxtvcn.com.cn/live-jxtvcn/ganyun_yugan.m3u8
