测试频道,#genre#
兴隆综合,https://jwcdnqx.hebyun.com.cn/live/xlzh/1500k/tzwj_video.m3u8
凤凰香港频高,https://ali.hlspull.yximgs.com/live/82dc0c453a24e08a0a9d5ea5e9f73785.flv
CHC影迷电影,http://110.53.52.63:8888/newlive/live/hls/52/live.m3u8
流星花园壹03,https://v.cdnlz20.com/20241121/20988_2cecc2ac/index.m3u8
amc电影频英,http://61.221.215.25:8800/hls/43/index.m3u8
澳视澳门梅州,http://1b6467f415.iok.la:9931/tsfile/live/1039_1.m3u8
流星花园壹16,https://v.cdnlz20.com/20241121/21001_7ffc3ef8/index.m3u8
流星花园壹24,https://v.cdnlz20.com/20241121/21008_82c743e0/index.m3u8
车震视频5,https://vd4.bdstatic.com/mda-mkj6mgsuic4gdknp/sc/cae_h264/1637383677947993989/mda-mkj6mgsuic4gdknp.mp4
卡酷少儿,http://218.13.170.98:9901/tsfile/live/1021_1.m3u8
刘涛说不出口,https://video.yinyuetai.com/7be03d214b7f4d759f7b2943b695433b.mp4
少儿动画,http://61.138.128.226:19901/tsfile/live/1017_1.m3u8
韩国EBS少儿,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
互动英語,http://37.27.111.214:8080/live/54/hls.m3u8
民视第一,http://37.27.111.214:8080/live/4/hls.m3u8
海峡卫视,http://38.64.72.148:80/hls/modn/list/4009/playlist.m3u8
TV5_MONDE,http://37.27.111.214:8080/live/9/hls.m3u8
生物多样视觉,https://vd3.bdstatic.com/mda-ne6irx2irbjbbr6v/sc/cae_h264/1651932935194074079/mda-ne6irx2irbjbbr6v.mp4
河南法治,http://www.cdnstv.com:6398/hls/1112/index.m3u8
岳云鹏,https://vd2.bdstatic.com/mda-meqitprx5ti8ed1a/720p/h264/1621948823045463060/mda-meqitprx5ti8ed1a.mp4
郭镐鸣《野摩托》,https://vd3.bdstatic.com/mda-mekfm7wu6f4rtt99/1080p/cae_h264/1621595318412084671/mda-mekfm7wu6f4rtt99.mp4
CHC影迷电影,http://175.22.226.131:888/hls/107/index.m3u8
流星花园壹25,https://v.cdnlz20.com/20241121/21010_13161b67/index.m3u8
无线功夫,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
中视闽南,http://37.27.111.214:8080/live/7/hls.m3u8
新视觉,http://120.76.248.139/live/bfgd/4200000249.m3u8
流星花园壹20,https://v.cdnlz20.com/20241121/21005_5372234e/index.m3u8
