港台频道,#genre#
中天综合,https://smart.pendy.dpdns.org/Smart.php
凤凰中文,http://kkk.jjjj.jiduo.me/api.php
TVB星河,http://php.jdshipin.com:8880/TVOD/iptv.php
台视新闻,http://lzoq.serv00.net/daili/Smartv.php
凤凰中文,http://1b6467f415.iok.la:9931/tsfile/live/1037_1.m3u8
凤凰中文,https://live.tvfix.org/live/fhzw/index.m3u8
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-15.m3u8
东森新闻,https://smart.pendy.dpdns.org/Smart.php
翡翠台,http://php.jdshipin.com:8880/smt.php
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-18.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
凤凰香港,http://150.138.77.132:10037/xxw/Smartv.php
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-3.ctv
凤凰资讯,https://smart.pendy.dpdns.org/Smart.php
凤凰资讯,https://k44991.kylintv.tv/live/pxinhd_iphone.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-6.m3u8
东森超视,http://150.138.77.132:10037/xxw/Smartv.php
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
凤凰香港,http://lzoq.serv00.net/daili/Smartv.php
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php
凤凰资讯,http://www.terrykang.cn:5678/sxg.php
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
凤凰资讯,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-16.m3u8
中视新闻,https://smart.pendy.dpdns.org/Smart.php
中天娱乐,http://kkk.jjjj.jiduo.me/api.php
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
东森超视,http://lzoq.serv00.net/daili/Smartv.php
凤凰中文,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-8.m3u8
凤凰资讯,https://cdn6.163189.xyz/live/fhzx/stream.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-5.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-6.m3u8
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-4.ctv
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-17.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php
翡翠台,https://stream1.freetv.fun/ba009d94229ed40a5d9289178463fba7aa31fb0622f8ab2d66c01147828743ab.m3u8
TVB星河,http://1b6467f415.iok.la:9931/tsfile/live/1008_1.m3u8
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8
凤凰香港,https://cdn6.163189.xyz/live/fhhk/stream.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-3.m3u8
TVBS亚洲,http://185.243.7.13:80/play/live.php
凤凰香港,http://r.jdshipin.com/NfC0f
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-3.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-8.ctv
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-3.ctv
TVBS新闻,http://61.221.215.25:8800/hls/9/index.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-13.ctv
凤凰中文,http://www.terrykang.cn:5678/sxg.php
凤凰资讯,http://120.55.49.231:3095/rtp/233.50.200.192:5140
非凡新闻,https://smart.pendy.dpdns.org/Smart.php
凤凰资讯,http://php.jdshipin.com:8880/smt.php
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-6.ctv
民視新聞,http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-8.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-20.m3u8
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-14.ctv
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-12.ctv
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-17.ctv
中天娱乐,https://smart.pendy.dpdns.org/Smart.php
翡翠台,http://185.243.7.13:80/play/live.php
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-4.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-9.m3u8
中视新闻,https://stream1.freetv.fun/zhong-shi-xin-wen-2.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-14.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-19.ctv
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-15.m3u8
凤凰香港,http://r.jdshipin.com/yDoTN
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-4.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
中视经典,https://smart.pendy.dpdns.org/Smart.php
翡翠台,http://223.244.26.190:8082/tvb翡翠.盗源者死全家/易發TV/hls.m3u8
台视新闻,http://kkk.jjjj.jiduo.me/api.php
TVBS新闻,http://kkk.jjjj.jiduo.me/api.php
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-6.m3u8
凤凰中文,https://stream1.freetv.fun/4e695e885cc20b20b7e3ec874fe52ed75e27443778c8ff29e498c4c9d7cec4a0.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-1.m3u8
翡翠台,http://r.jdshipin.com/qClQf
凤凰资讯,https://stream1.freetv.fun/feng-huang-zi-xun-13.m3u8
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
翡翠台,https://stream1.freetv.fun/fei-cui-1.m3u8
凤凰资讯,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukruupu002-golive.flv
翡翠台,http://1b6467f415.iok.la:9931/tsfile/live/1007_1.m3u8
民视新闻,https://stream1.freetv.fun/min-shi-xin-wen-5.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
东森超视,https://stream1.freetv.fun/dong-sen-chao-shi-2.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-18.m3u8
凤凰中文,https://stream1.freetv.fun/feng-huang-zhong-wen-7.ctv
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-22.m3u8
翡翠台,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah005-golive.flv
凤凰香港,http://kkk.jjjj.jiduo.me/api.php
翡翠台,https://stream1.freetv.fun/fei-cui-10.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
三立NEWS+,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV32.m3u8
凤凰香港,https://smart.pendy.dpdns.org/Smart.php
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
民视新闻,https://smart.pendy.dpdns.org/Smart.php
东森新闻,https://stream1.freetv.fun/dong-sen-xin-wen-2.m3u8
台视新闻,https://stream1.freetv.fun/tai-shi-xin-wen-19.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
台视新闻,https://smart.pendy.dpdns.org/Smart.php
