湖北频道,#genre#
湖北影视,http://cdn.jdshipin.com:8880/hbgd.php
荆门新闻综合,https://epg.pw/stream/fec6f84163995a26addc2f96b85410ac26cb8faec86be555742636476b5a136e.m3u8
湖北影视,http://58.19.43.46:9901/tsfile/live/1016_1.m3u8
湖北经视,http://58.19.43.46:9901/tsfile/live/1017_1.m3u8
江夏新闻综合,http://59.175.226.142:280/gb28181/xwzh.m3u8
荆门新闻综合,https://epg.pw/stream/9530f08f03324e997bf7d72bf233cd0a8d70e5511d3495d41ced5bc9b36d8316.m3u8
十堰新闻,http://p8.vzan.com/slowlive/034028687228317362/live.m3u8
武汉一台新闻综合,https://ls.qingting.fm/live/20198/64k.m3u8
湖北垄上,http://58.19.43.46:9901/tsfile/live/1015_1.m3u8
荆门新闻综合,http://stream.jmtv.com.cn/xwzh/sd/live.m3u8
湖北生活,http://satellitepull.cnr.cn/live/wx32hubczshgb/playlist.m3u8
荆门新闻综合,https://stream.jmtv.com.cn/xwzh/playlist.m3u8
湖北生活,https://satellitepull.cnr.cn/live/wx32hubczshgb/playlist.m3u8
十堰新闻,https://p8.vzan.com/slowlive/034028687228317362/live.m3u8
