福建频道,#genre#
福建新闻,https://stream1.freetv.fun/f071eb13dcfd59aee52ead1fc082e132079f1877e3b2837a97cae00042720304.m3u8
福州综合,http://ls.qingting.fm/live/1861.m3u8
福州生活,http://live.zohi.tv:80/video/s10001-fztv-3/index.m3u8
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8
福建经济,https://stream1.freetv.fun/ca71c76c3392dcba32531f321a10049291d408bdc3ca930f3bff09e8786e2761.m3u8
福建经济,http://satellitepull.cnr.cn/live/wx32fjdnjjgb/playlist.m3u8
福州少儿,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
福建经济,https://stream1.freetv.fun/53854e531f3b3b84758c4e0698a8973b59133935dbc65bdba0a1f19a016e17aa.m3u8
云霄综合,https://live.zzyxxw.com:2443/live/xwzh.m3u8
福建少儿,http://aa3.kkwk111.top/fj.php
厦门卫视,http://1b6467f415.iok.la:9931/tsfile/live/1093_1.m3u8
福建新闻,http://satellitepull.cnr.cn/live/wx32fjxwgb/playlist.m3u8
福州生活,http://lb.streaming.sk/fashiontv/stream/playlist.m3u8
三明新闻综合,http://ls.qingting.fm/live/4885.m3u8
