辽宁频道,#genre#
朝阳新闻综合,http://live.nctv.top/JKHdjsi/bfgd.php
辽宁生活,http://live.nctv.top/JKHdjsi/bfgd.php
辽宁经济,http://live.nctv.top/JKHdjsi/bfgd.php
辽宁都市,http://live.nctv.top/JKHdjsi/bfgd.php
辽宁经济,http://120.76.248.139/live/bfgd/4200000076.m3u8$LR•IPV4『线路3』
辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8$LR•IPV4『线路1』
辽宁经济,http://ls.qingting.fm/live/23797.m3u8$LR•IPV4『线路5』
辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8$LR•IPV4『线路1』
辽宁教育青少,http://120.76.248.139/live/bfgd/4200000075.m3u8$LR•IPV4『线路2』
辽宁北方,http://live.nctv.top/JKHdjsi/bfgd.php
