重庆频道,#genre#
万州综合,http://live.xmcdn.com/live/1678/64.m3u8
璧山综合,http://kkk.jjjj.jiduo.me/api.php
垫江综合,http://play-sh.quklive.com/live/1672366847646284.m3u8
潼南综合,http://183.230.184.51:65500/tntv1.m3u8
万州三峡移民,http://123.146.162.24:8013/tslslive/PU2vzMI/hls/live_sd.m3u8
万州三峡移民,http://kkk.jjjj.jiduo.me/api.php
万州三峡移民,http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
万州综合,http://kkk.jjjj.jiduo.me/api.php
荣昌综合,http://183.64.181.25:40023/rongchang01.m3u8
重庆汽摩,http://218.89.240.144:59901/tsfile/live/1010_1.m3u8
垫江综合,https://play-sh.quklive.com/live/1672366847646284.m3u8
江津新闻综合,http://222.179.155.21:1935/ch1.m3u8
重庆汽摩,http://hbhyjq.ufyct.com:1088/hls/54/index.m3u8
垫江综合,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8
